mean_lon,mean_lat,year,month,day
176.619432886108,32.6787283689241,2024,5,4
175.860895212552,35.057734124614,2024,6,23
180.592617770427,40.4057593651645,2024,8,12
183.510212411605,41.6848032419466,2024,10,1
186.999746586372,37.3662285175569,2024,11,20
193.315150592714,32.1379277609952,2024,1,9
199.01578005525,32.1112577913518,2024,2,28
196.367856222399,34.9122377945573,2024,4,19
194.311561551928,34.6966077152962,2024,6,8
192.85445935735,37.0917501942058,2024,7,28
194.078757811627,41.7693290372383,2024,9,16
192.044436165313,38.2279593047231,2024,11,5
191.760026290605,34.7385780752043,2024,12,25
195.063134981283,31.7396435280445,2024,2,13
199.306553405532,34.3432418597437,2024,4,4
205.605040455239,35.1277116865649,2024,5,24
210.280467921659,38.460826483342,2024,7,13
215.722452964025,39.3374947731784,2024,9,1
223.007301112593,35.8679284198372,2024,10,21
225.638647308816,30.1854023141461,2024,12,10
232.406424355302,28.328588352337,2024,1,29
239.552975360004,25.9810780813157,2024,3,19
245.871574770029,24.8366188324699,2024,5,8
248.571044756,23.7241735345355,2024,6,27
245.7579071789,26.7817714626367,2024,8,16
