date,mean_lat,mean_lon,matched_lat,matched_lon,matched_chla
2024-05-04 00:00:00,32.6787283689241,-3.380567113891999,32.6875,-3.3958280086517334,
2024-06-23 00:00:00,35.057734124614,-4.139104787447991,35.0625,-4.1458282,
2024-08-12 00:00:00,40.4057593651645,0.5926177704270117,,,
2024-10-01 00:00:00,41.6848032419466,3.5102124116050106,,,
2024-11-20 00:00:00,37.3662285175569,6.999746586371998,,,
2024-01-09 00:00:00,32.1379277609952,13.31515059271399,,,
2024-02-28 00:00:00,32.1112577913518,19.01578005524999,,,
2024-04-19 00:00:00,34.9122377945573,16.367856222399013,34.895832,16.354172,0.14782799780368805
2024-06-08 00:00:00,34.6966077152962,14.311561551928008,34.6875,14.312506,0.08844449371099472
2024-07-28 00:00:00,37.0917501942058,12.85445935735001,37.104164,12.854173,0.14210209250450134
2024-09-16 00:00:00,41.7693290372383,14.078757811627014,,,
2024-11-05 00:00:00,38.2279593047231,12.044436165312987,,,
2024-12-25 00:00:00,34.7385780752043,11.760026290604998,,,
2024-02-13 00:00:00,31.7396435280445,15.063134981283014,,,
2024-04-04 00:00:00,34.3432418597437,19.306553405531986,34.354164,19.312506,0.07754331827163696
2024-05-24 00:00:00,35.1277116865649,25.605040455238992,35.145832,25.604174,
2024-07-13 00:00:00,38.460826483342,30.28046792165901,38.479164,30.27084,
2024-09-01 00:00:00,39.3374947731784,35.722452964024995,,,
2024-10-21 00:00:00,35.8679284198372,43.00730111259301,,,
2024-12-10 00:00:00,30.1854023141461,45.63864730881599,,,
2024-01-29 00:00:00,28.328588352337,52.40642435530199,,,
2024-03-19 00:00:00,25.9810780813157,59.55297536000401,25.979164,59.562508,
2024-05-08 00:00:00,24.8366188324699,65.87157477002901,24.854164,65.85417,1.0086321830749512
2024-06-27 00:00:00,23.7241735345355,68.57104475599999,23.729164,68.56251,
2024-08-16 00:00:00,26.7817714626367,65.75790717890001,,,
