year_initial,month_initial,day_initial,year_final,month_final,day_final,site,level,avg,products,download,longitude,latitude
2023,06,01,2023,08,31,Konza,10,10,aod,on,-96.559667,39.0825
2023,06,01,2023,08,31,MD_Science_Center,10,10,aod,on,-76.612052,39.28123
2023,06,01,2023,08,31,COVE,10,10,aod,on,-75.71,36.9
2023,06,01,2023,08,31,China_Lake,10,10,aod,on,-117.744533,35.6741
2023,06,01,2023,08,31,Mammoth_Lake,10,10,aod,on,-119.033333,37.616667
2023,06,01,2023,08,31,Rogers_Dry_Lake,10,10,aod,on,-117.885,34.92555
2023,06,01,2023,08,31,Stennis,10,10,aod,on,-89.616667,30.368014
2023,06,01,2023,08,31,UCLA,10,10,aod,on,-118.442752,34.069605
2023,06,01,2023,08,31,Maricopa,10,10,aod,on,-111.972298,33.069023
2023,06,01,2023,08,31,KONZA_EDC,10,10,aod,on,-96.6096,39.102328
2023,06,01,2023,08,31,GISS,10,10,aod,on,-73.9599,40.7977
2023,06,01,2023,08,31,BSRN_BAO_Boulder,10,10,aod,on,-105.006033,40.045183
2023,06,01,2023,08,31,Billerica,10,10,aod,on,-71.268619,42.528347
2023,06,01,2023,08,31,Kelowna,10,10,aod,on,-119.373,49.955333
2023,06,01,2023,08,31,Angiola,10,10,aod,on,-119.538,35.947
2023,06,01,2023,08,31,SteamboatSpring,10,10,aod,on,-106.807117,40.404867
2023,06,01,2023,08,31,Railroad_Valley,10,10,aod,on,-115.691,38.497
2023,06,01,2023,08,31,Philadelphia,10,10,aod,on,-75.004667,40.035667
2023,06,01,2023,08,31,Penn_State_Univ,10,10,aod,on,-78.0809,40.7421
2023,06,01,2023,08,31,Lochiel,10,10,aod,on,-122.602,49.028
2023,06,01,2023,08,31,Rochester,10,10,aod,on,-77.5864,43.2337
2023,06,01,2023,08,31,Big_Meadows,10,10,aod,on,-78.436111,38.521944
2023,06,01,2023,08,31,CCNY,10,10,aod,on,-73.949036,40.821313
2023,06,01,2023,08,31,Columbia_SC,10,10,aod,on,-81.036333,34.022803
2023,06,01,2023,08,31,Hermosillo,10,10,aod,on,-110.96,29.074722
2023,06,01,2023,08,31,Norfolk_State_Univ,10,10,aod,on,-76.259,36.848
2023,06,01,2023,08,31,Monterey,10,10,aod,on,-121.854867,36.59255
2023,06,01,2023,08,31,Fresno,10,10,aod,on,-119.773167,36.781733
2023,06,01,2023,08,31,IHOP-Homestead,10,10,aod,on,-100.606183,36.558333
2023,06,01,2023,08,31,Corcoran,10,10,aod,on,-119.5661,36.10343
2023,06,01,2023,08,31,SMEX,10,10,aod,on,-93.664,41.936
2023,06,01,2023,08,31,CRYSTAL_FACE,10,10,aod,on,-80.422167,25.650167
2023,06,01,2023,08,31,Kellogg_LTER,10,10,aod,on,-85.371717,42.407983
2023,06,01,2023,08,31,Riverside_Park,10,10,aod,on,-77.066667,38.716667
2023,06,01,2023,08,31,Rockville,10,10,aod,on,-77.129582,39.056085
2023,06,01,2023,08,31,The_Mall,10,10,aod,on,-77.030917,38.889522
2023,06,01,2023,08,31,Greenbelt_Park,10,10,aod,on,-76.89355,38.746
2023,06,01,2023,08,31,Worthington_ES,10,10,aod,on,-76.792985,39.244536
2023,06,01,2023,08,31,Mt_Royal_ES_MS,10,10,aod,on,-76.625087,39.309093
